../data_processed_voc/wav/voc_16_part_4.wav,../data_processed_voc/txt/voc_16_part_4.txt,ALL OF THAT I YES MHM SO THAT'S WHAT I HAD TO HAD TO DO WHEN I CAME HOME FROM SCHOOL,0,all of that. I yes. Mhm. So that's what I had to had to do when I came home from school.,5.695
../data_processed_voc/wav/voc_10_part_2.wav,../data_processed_voc/txt/voc_10_part_2.txt,OH YEAH IT WAS MUCH SMALLER GEOGRAPHICALLY YEAH UH MY FATHER HAD BUILT A HOUSE OVER ON SUNSET WHICH IS KIND OF IN THE MIDDLE NOW ALMOST CLOSE TO THE CITY AND UH CLOSE TO THE HIGH SCHOOL,0,oh yeah ... it was much smaller geographically yeah ... uh ... my father had built a house over on sunset ... which is kind of in the middle now almost close to the city ... and uh close to the high school,19.496
../data_processed_voc/wav/voc_6_part_222.wav,../data_processed_voc/txt/voc_6_part_222.txt,TO DO ADDITION TO THE CROCKER BUT THEY THEY GIVE LIKE TWENTY THIRTY MILLION DOLLARS FOR SOMETHING LIKE THAT AND THEY SPONSOR CHILDREN'S PROGRAMS THEY EVERY EVERY CHARITABLE EVENT YOU SEE THEIR NAME YOU KNOW AND UH UH UH JOYCE,0,to do addition to the crocker but they -- they give like twenty thirty million dollars for something like that and they sponsor children's programs. They -- every -- every charitable event you see their name you know and uh uh uh Joyce,20.427
../data_processed_voc/wav/voc_24_part_129.wav,../data_processed_voc/txt/voc_24_part_129.txt,YOU KNOW I JUST FOR ME PERSONALLY YOU KNOW AND SOME PEOPLE MAY SAY THAT'S A BAD THING BUT UH IT'S NOT SOMETHING THAT I PERSONALLY HAVE FELT I NEED TO DO YOU KNOW UM I HAVE IT WHICH SOUNDS WEIRD TO PEOPLE BUT,0,You know I just for me personally you know and some people may say that's a bad thing but uh it's not something that I personally have felt I need to do. You know um I have it which sounds weird to people but,20.956
../data_processed_voc/wav/voc_1_part_234.wav,../data_processed_voc/txt/voc_1_part_234.txt,I ENJOY IT I'M A SENTIMENTAL KIND OF PERSON I ENJOY WHERE I CAME FROM BAKERSFIELD AND I ENJOY IT HERE I WAS VERY HOMESICK WHEN I LIVED IN LOUISIANA AND I WAS VERY GLAD TO COME BACK HOME SO THAT'S IT I LIKE IT HERE,0,I enjoy it ... I'm a sentimental kind of person I enjoy where I came from Bakersfield ... and ... I enjoy it here ... I was very homesick when I lived in Louisiana and I was very glad to come back home ... so that's it ... I like it here ...,18.419
../data_processed_voc/wav/voc_18_part_263.wav,../data_processed_voc/txt/voc_18_part_263.txt,UM I LIKE THOSE KIND OF PICTURES BUT UH NO UH M,0,um I like those kind of pictures but uh no uh m-,6.407
../data_processed_voc/wav/voc_10_part_372.wav,../data_processed_voc/txt/voc_10_part_372.txt,YEAH SHE'S ONLY TWO WEEKS FROM THE UH I MEAN TWO TWO WEEKS TWO UH BLOCKS,0,... yeah she's only two weeks from the uh I mean ... two two weeks two uh ... blocks,9.919
../data_processed_voc/wav/voc_33_part_112.wav,../data_processed_voc/txt/voc_33_part_112.txt,I MEAN THE PEOPLE THAT I KNOW AND HANG OUT WITH DON'T REALLY TALK ABOUT POLITICS TOO MUCH THE FEW PEOPLE LIKE IF YOU HAVE FACEBOOK PEOPLE THAT ARE CONSTANTLY TALKING ABOUT POLITICS OR SOMETHING OR OTHER I TEND TO LIKE,0, I mean the people that I know and hang out with don't really  talk about politics too much.  The few people like if you have facebook people that are constantly talking about politics or something or other I tend to like,20.425
../data_processed_voc/wav/voc_10_part_271.wav,../data_processed_voc/txt/voc_10_part_271.txt,WE GET A LOT UH WE GET WATER FOR OUR FARMING FROM THE DE UH DELTA UP SACRAMENTO,0,we get a lot uh we get water for our farming from the de- uh delta up Sacramento,5.999
../data_processed_voc/wav/voc_23_part_44.wav,../data_processed_voc/txt/voc_23_part_44.txt,SO YEAH IT WAS PRETTY BAD BUT SO THEN UM THAT WAS WHEN I WAS IN LAW SCHOOL AND THEN WE MY WIFE AND I RENTED A HOUSE IN MIDTOWN WHICH WAS MUCH BETTER YEAH,0,so yeah it was pretty bad but so then um that was when I was in law school and then we -- my wife and I rented a house in midtown which was much better yeah.,11.824000000000002
../data_processed_voc/wav/voc_10_part_397.wav,../data_processed_voc/txt/voc_10_part_397.txt,BUT I QUESTION HOW COME THESE CLASSES AREN'T TRANSFERRABLE,0,... but I question how come these classes aren't transferrable,7.595
../data_processed_voc/wav/voc_26_part_276.wav,../data_processed_voc/txt/voc_26_part_276.txt,WELL I WASN'T REAL POLITICAL UNTIL UH I C COULD AFFORD IT S FE WAS FEEDING MY KIDS AND BUYING HOUSES TRYING TO BE SOLVENT AND SO THEN WHEN I GOT SOLVENT I GOT BOISTEROUS BECAUSE IT'S LIKE I TELL PEOPLE NOW AND Y Y IF YOU ASK PEOPLE ABOUT JOHN WILSON YOU MIGHT RUN INTO PEOPLE AND THEY'LL SAY,0,well I wasn't real political until uh I c- could afford it [laughter] s- fe- [inaudible] was feeding my kids and buying houses trying to be solvent and so then when I got solvent I got boisterous because it's like I tell people now and y- y- if you ask people about John Wilson you might run into people and they'll say,22.796999999999997
../data_processed_voc/wav/voc_22_part_102.wav,../data_processed_voc/txt/voc_22_part_102.txt,DEERBORN MICHIGAN WHO WOULD'VE THOUGHT THERE ARE SO MANY ARABS THERE BUT YEAH DO WE HAVE PERSIAN I'VE MET PLENTY OF PERSIANS THERE'S A LOT OF HOOKAH LOUNGES AND STUFF AROUND THE AREA,0,Deerborn Michigan who would've thought? There are so many Arabs there but yeah do we have Persian -- I've met plenty of Persians. There's a lot of hookah lounges and stuff around the area,8.756
../data_processed_voc/wav/voc_34_part_35.wav,../data_processed_voc/txt/voc_34_part_35.txt,REDDING UH YEAH REDDING AND UM OH YOU KNOW LIKE MONTANA WYOMING UM I THEY UH I'M TRYING TO THI THINK UKIAH UH DI YOU KNOW JUST OUT OF THE AREA TOTALLY,0,"*Redding {BR} Uh Yeah, Redding, and um {LS} {BR} oh you know, like Montana, Wyoming {BR} um, i- they -- uh, I'm trying to thi- +think -- Ukiah {BR} Uh, di- -- you know, just out of the area totally.",17.102999999999998
