wav_file,txt_file,groundtruth_text,duration
~/aave_speech_rec/data_processed/wav/DCB_se2_ag4_f_04_1_part_72.wav,~/aave_speech_rec/data_processed/txt/DCB_se2_ag4_f_04_1_part_72.txt,"with a minor in computer graphics. So I was very proud of her, always have been. I mean she's- she's- I've been really blessed. She's never given me any trouble. I mean absolutely- You know, there have been little hiccups, but those are just life lessons but nothing major. You know, no n- She might have cut class. If she did, I don't know anything about it.",20.93
~/aave_speech_rec/data_processed/wav/PRV_se0_ag2_f_02_2_part_23.wav,~/aave_speech_rec/data_processed/txt/PRV_se0_ag2_f_02_2_part_23.txt,"Matter of fact he a pastor at two churches. See, um, <ts> he go to different churches",6.341
~/aave_speech_rec/data_processed/wav/DCB_se1_ag2_f_02_1_part_18.wav,~/aave_speech_rec/data_processed/txt/DCB_se1_ag2_f_02_1_part_18.txt,"Because it was the neighborhood school and I wasn't supposed to go to /RD-SCHOOL-2/, I was supposed to- during this time my mom was getting- cause I had a niece and a brother they're the same age so my mom and my sister were pregnant at the same time.",10.723
~/aave_speech_rec/data_processed/wav/DCB_se3_ag4_f_02_1_part_51.wav,~/aave_speech_rec/data_processed/txt/DCB_se3_ag4_f_02_1_part_51.txt,"I guess you would- It depends on how you define that. I mean, I- I w- I defined it as um, the- that- I mean there were a couple of things that happened. I mean, you know, nobody called you the N word, at least not to your face.",16.915
~/aave_speech_rec/data_processed/wav/PRV_se0_ag1_m_01_1_part_27.wav,~/aave_speech_rec/data_processed/txt/PRV_se0_ag1_m_01_1_part_27.txt,"And it's just like, people know- It's just so many drugs going through that area. It's people coming from- seems like they're migrating from north, just to come here. You see all these new people, and it's like, you get to talk to 'em and like where are you from? I'm from New York or New Jersey and I'm just tryna figure out well why are they here? Why did they come here?",20.078
~/aave_speech_rec/data_processed/wav/DCB_se1_ag2_f_02_1_part_53.wav,~/aave_speech_rec/data_processed/txt/DCB_se1_ag2_f_02_1_part_53.txt,"And so this song was like, you make me wanna leave the one I'm with, [start a new- <laugh>] [<laugh> I remember that.] I do too. [Start a new relationship.] [Start a new relationship with you.]",15.991
~/aave_speech_rec/data_processed/wav/DCB_se1_ag1_m_01_1_part_44.wav,~/aave_speech_rec/data_processed/txt/DCB_se1_ag1_m_01_1_part_44.txt,I don't know it like- I like hearing the history about how far DC came and just how the world change.,5.678
~/aave_speech_rec/data_processed/wav/DCB_se2_ag4_f_02_1_part_143.wav,~/aave_speech_rec/data_processed/txt/DCB_se2_ag4_f_02_1_part_143.txt,"they'll never get divorced. And um, you know, my mother moved out and bought a condo not far from here",6.823
~/aave_speech_rec/data_processed/wav/DCB_se3_ag4_f_01_1_part_124.wav,~/aave_speech_rec/data_processed/txt/DCB_se3_ag4_f_01_1_part_124.txt,"And it was just tryna get- You know, just tryna get through it. And when the s- During that time of the sniper, um, my kids school needed volunteers because it was- They were on lock down. So, I- So, they were in elementary school, and I was like, I'm going up to volunteer at school cause I wanna be where my kids are. So, I'm sitting in the elementary school- The door's right here, glass door. I'm sitting in a chair right here to let people in and out. Now I don't know if that's the sniper coming up here /that I/- Anyway, all of that- But I just felt like- I didn't- It The fear wasn't even there. It was just like, something I had to do,",35.19300000000001
~/aave_speech_rec/data_processed/wav/DCB_se2_ag3_m_03_1_part_16.wav,~/aave_speech_rec/data_processed/txt/DCB_se2_ag3_m_03_1_part_16.txt,"We in the car, you know what I'm saying, and we smoking, we drinking or whatever just listening to like old music, rap music, rack of go go, you know what I'm saying, any one of the /unintelligible/ um, <ts> Backyard, Junk Yard, uh- uh, Chuck, you know, even older bands, Petworth, um, like, when I was coming up, you know what I'm saying around that time I even had a band myself. Um, it was a rack of bands like, any anywhere you went you know what I'm saying, any neighborhood had least like four or five bands coming from it you know what I'm saying there's a lot of talent in DC, you know what I mean, it- it- it- it doesn't get exposed a lot. But these youngins /out/ this jont man be tight. You know I used to play with a band called uh, Superior Groove.",50.146
