Unnamed: 0,wav_file,txt_file,groundtruth_text,duration,age,gender,google_transcription,clean_text,clean_google_transcription,wordcount,clean_google_transcription_wer
0,data_processed/wav/ATL_se0_ag1_f_03_1_part_1.wav,data_processed/txt/ATL_se0_ag1_f_03_1_part_1.txt,"Um, my mom used to be a school teacher, and then when she came to the States, she, um, became a RN.",8.221,24,Female,my mom used to be a school teacher and then when she came to the states she became an RN,my mom used to be a school teacher and then when she came to the states she became a rn,my mom used to be a school teacher and then when she came to the states she became an rn,20,0.05
1,data_processed/wav/ATL_se0_ag1_f_03_1_part_2.wav,data_processed/txt/ATL_se0_ag1_f_03_1_part_2.txt,"And my dad, um, he did- he played soccer and he- um, is it a seamstress when you're a guy? <laugh>",10.518,24,Female,and my dad he did he plays Sokka and he is it a seamstress when you're a guy,and my dad he did he played soccer and he is it a seamstress when youre a guy,and my dad he did he plays sokka and he is it a seamstress when youre a guy,18,0.1111111111111111
2,data_processed/wav/ATL_se0_ag1_f_03_1_part_3.wav,data_processed/txt/ATL_se0_ag1_f_03_1_part_3.txt,"Well he- he, um, was a seamstress and then when he came to the States, he did like, um, custodial work.",5.274,24,Female,he was a seamstress and then when he came to the states he did like on custodial work,well he he was a seamstress and then when he came to the states he did like custodial work,he was a seamstress and then when he came to the states he did like on custodial work,19,0.15789473684210525
3,data_processed/wav/ATL_se0_ag1_f_03_1_part_4.wav,data_processed/txt/ATL_se0_ag1_f_03_1_part_4.txt,<laugh> No. (laughing) A all white like your clothes. All white clothes. [It was all white birthday] party.,5.589,24,Female,your clothes all white clothes,no a all white like your clothes all white clothes it was all white birthday party,your clothes all white clothes,16,0.6875
4,data_processed/wav/ATL_se0_ag1_f_03_1_part_5.wav,data_processed/txt/ATL_se0_ag1_f_03_1_part_5.txt,"Um, I mean it's different things. I mean it depends on what type of all white party you go to. You go to American- an American all white party might be different type of music. People might act different.",10.441,24,Female,I mean different things I mean depends on what type of all white party goes to be an American or white party might be different type of music people,i mean its different things i mean it depends on what type of all white party you go to you go to american an american all white party might be different type of music people might act different,i mean different things i mean depends on what type of all white party goes to be an american or white party might be different type of music people,38,0.3157894736842105
5,data_processed/wav/ATL_se0_ag1_f_03_1_part_6.wav,data_processed/txt/ATL_se0_ag1_f_03_1_part_6.txt,"Um, <ts> When I first came out here obviously there wasn't like- things weren't that close. It was stressful because I had to get a ride to go everywhere. Um, also when I went to school, like with teachers with different accents, like that come from, um, different countries like, the West Indies and you know like other places. The kids would make fun of them. And that would kind of get to me a little bit. I don't know if it's because",25.005,24,Female,when I first came out here obviously there wasn't like things weren't that close it was stressful because I had to get a ride to go everywhere also when I went to school like with teachers with different accents like that come from different countries like the West Indies and you know like other places the kids will make fun of them and I will kind of get to me a little bit I don't know if it's because,when i first came out here obviously there wasnt like things werent that close it was stressful because i had to get a ride to go everywhere also when i went to school like with teachers with different accents like that come from different countries like the west indies and you know like other places the kids would make fun of them and that would kind of get to me a little bit i dont know if its because,when i first came out here obviously there wasnt like things werent that close it was stressful because i had to get a ride to go everywhere also when i went to school like with teachers with different accents like that come from different countries like the west indies and you know like other places the kids will make fun of them and i will kind of get to me a little bit i dont know if its because,79,0.0379746835443038
6,data_processed/wav/ATL_se0_ag1_f_03_1_part_7.wav,data_processed/txt/ATL_se0_ag1_f_03_1_part_7.txt,"um, you know my parents are from a different country, or if it's because you know, it's something that I'm used to because being in New York, every- it's everything is diverse, so you know. Nobody's different from anybody else, you know.",13.383,24,Female,you know my parents are from a different country or if it's because you know it's something that I'm used to because being a New York every is everything is diverse so you know nobody's different from anybody else here,you know my parents are from a different country or if its because you know its something that im used to because being in ny every its everything is diverse so you know nobodys different from anybody else you know,you know my parents are from a different country or if its because you know its something that im used to because being a ny every is everything is diverse so you know nobodys different from anybody else here,40,0.1
7,data_processed/wav/ATL_se0_ag1_f_03_1_part_8.wav,data_processed/txt/ATL_se0_ag1_f_03_1_part_8.txt,"Uh, on a typical weekend, probably go out. to a party, or to a club, or to a lounge, or go bowling. Or something, or studio.",9.114,24,Female,we can go out to go potty or to a club where to announce or go bowling or something or Studio,on a typical weekend probably go out to a party or to a club or to a lounge or go bowling or something or studio,we can go out to go potty or to a club where to announce or go bowling or something or studio,25,0.4
8,data_processed/wav/ATL_se0_ag1_f_03_1_part_9.wav,data_processed/txt/ATL_se0_ag1_f_03_1_part_9.txt,"I can bowl a little bit. And I can sing a little bit, but I'm shy. So I won't do no singing in this studio. [<laugh>]",6.074,24,Female,Cibola little bit,i can bowl a little bit and i can sing a little bit but im shy so i wont do no singing in this studio,cibola little bit,25,0.92
9,data_processed/wav/ATL_se0_ag1_f_03_1_part_10.wav,data_processed/txt/ATL_se0_ag1_f_03_1_part_10.txt,"But, uh, After awhile it was cool. They had, um, like a lot of different, um, clubs you could join. And different activities and stuff at school. Like, I was in choir",11.229,24,Female,but after a while it was cool they had like a lot of different clubs you could join and different activities and stuff at school like I was in choir,but after awhile it was cool they had like a lot of different clubs you could join and different activities and stuff at school like i was in choir,but after a while it was cool they had like a lot of different clubs you could join and different activities and stuff at school like i was in choir,29,0.06896551724137931
