wav_file,txt_file,groundtruth_text,duration,age,gender,audio_file,google_transcription,clean_text,clean_google_transcription,wordcount,clean_google_transcription_wer
data_processed_PRV/wav/PRV_se0_ag1_m_01_2_part_1.wav,data_processed_PRV/txt/PRV_se0_ag1_m_01_2_part_1.txt,"I think it is. I don't think we get enough uh, publicity",6.082000000000002,24,Male,data_processed_PRV/wav/PRV_se0_ag1_m_01_2_part_1.wav,I think it is I don't think we get enough publicity,i think it is i dont think we get enough publicity,i think it is i dont think we get enough publicity,11,0.0
data_processed_PRV/wav/PRV_se0_ag1_m_01_2_part_2.wav,data_processed_PRV/txt/PRV_se0_ag1_m_01_2_part_2.txt,"but you don't see that. It's just people came down just to see, and they saw it was nothing. It was nothing to show that it's historic because everything was gone and-",8.14,24,Male,data_processed_PRV/wav/PRV_se0_ag1_m_01_2_part_2.wav,but you don't see days have people came down just to see and it thought was nothing is nothing to show that it's his story because everything is gone,but you dont see that its just people came down just to see and they saw it was nothing it was nothing to show that its historic because everything was gone and,but you dont see days have people came down just to see and it thought was nothing is nothing to show that its his story because everything is gone,32,0.375
data_processed_PRV/wav/PRV_se0_ag1_m_01_2_part_3.wav,data_processed_PRV/txt/PRV_se0_ag1_m_01_2_part_3.txt,"That's the only way that they're gonna progress. I [hate to] say it, but they really need to go on and let Tarboro take it over.",6.625,24,Male,data_processed_PRV/wav/PRV_se0_ag1_m_01_2_part_3.wav,that's the only way that they're going to progress I hate to say it but they really need to go on and let Karma take it over,thats the only way that theyre going to progress i hate to say it but they really need to go on and let tarboro take it over,thats the only way that theyre going to progress i hate to say it but they really need to go on and let karma take it over,27,0.037037037037037035
data_processed_PRV/wav/PRV_se0_ag1_m_01_2_part_4.wav,data_processed_PRV/txt/PRV_se0_ag1_m_01_2_part_4.txt,"Try to find out where all this mismanaged money is and try to do all the things that they promised that they were gonna do that never happened like, sidewalks on all the streets and- and repaving all those roads because a lot of those roads in Princeville still have p- New York size pot holes,",17.101,24,Male,data_processed_PRV/wav/PRV_se0_ag1_m_01_2_part_4.wav,try to find out where all this Miss manage money is and try to do all the things that they promised that they were going to do that never happened like sidewalks on all the streets and and repaving all those rows with us a lot of those Road and Prince will still have New York side pothole,try to find out where all this mismanaged money is and try to do all the things that they promised that they were going to do that never happened like sidewalks on all the streets and and repaving all those roads because a lot of those roads in princeville still have p ny size pot holes,try to find out where all this miss manage money is and try to do all the things that they promised that they were going to do that never happened like sidewalks on all the streets and and repaving all those rows with us a lot of those rd and prince will still have ny side pothole,56,0.23214285714285715
data_processed_PRV/wav/PRV_se0_ag1_m_01_2_part_5.wav,data_processed_PRV/txt/PRV_se0_ag1_m_01_2_part_5.txt,"I think with growing up in Princeville, Princeville should be like a foot stool for- for where you need to go. Cause with the way everything is, it should make you want to be somewhere better.",14.762,24,Male,data_processed_PRV/wav/PRV_se0_ag1_m_01_2_part_5.wav,I think with throwing up from praying for you Prince Fielder should be like a footstool for 4 where you need to go to space the way everything is and should make you want to be somewhere better,i think with growing up in princeville princeville should be like a foot stool for for where you need to go cause with the way everything is it should make you want to be somewhere better,i think with throwing up from praying for you prince fielder should be like a footstool for four where you need to go to space the way everything is and should make you want to be somewhere better,36,0.3611111111111111
data_processed_PRV/wav/PRV_se0_ag1_m_01_2_part_6.wav,data_processed_PRV/txt/PRV_se0_ag1_m_01_2_part_6.txt,"And cause it's a nice com- it was a nice community, but now I don't see how people just don't go to school or graduate and just stay there.",7.592,24,Male,data_processed_PRV/wav/PRV_se0_ag1_m_01_2_part_6.wav,this is a knife it was a nice Community but now I don't see how people just don't go to school or graduate and just stay there,and cause its a nice com it was a nice community but now i dont see how people just dont go to school or graduate and just stay there,this is a knife it was a nice community but now i dont see how people just dont go to school or graduate and just stay there,29,0.1724137931034483
data_processed_PRV/wav/PRV_se0_ag1_f_01_1_part_1.wav,data_processed_PRV/txt/PRV_se0_ag1_f_01_1_part_1.txt,"I'm nineteen years old and- and a guy I know, just like, when it winter time, some days it's cold. Somedays it's really cold. And the next day might be like, sixty degrees. Like, okay. Should I- Or it's seventy degree- Should I take my coat off or should I keep it on? Because it's still",13.003,19,Female,data_processed_PRV/wav/PRV_se0_ag1_f_01_1_part_1.wav,I'm 19 years old guy knows it's like when when it's cold like 6° yok should I because it still,im nineteen years old and and a guy i know just like when it winter time some days its cold somedays its really cold and the next day might be like sixty degrees like okay should i or its seventy degree should i take my coat off or should i keep it on because its still,im nineteen years old guy knows its like when when its cold like six yok should i because it still,56,0.75
data_processed_PRV/wav/PRV_se0_ag1_f_01_1_part_2.wav,data_processed_PRV/txt/PRV_se0_ag1_f_01_1_part_2.txt,"we have- we had a whole lot of /deaths/ because- <sigh> you just have to- your body just have to get /??/ to it. It- it's horrible, but I'm used to it. I'm [used to it.]",9.342,19,Female,data_processed_PRV/wav/PRV_se0_ag1_f_01_1_part_2.wav,we haven't we have a lot of bills because it's horrible but I'm used to it,we have we had a whole lot of deaths because you just have to your body just have to get to it it its horrible but im used to it im used to it,we havent we have a lot of bills because its horrible but im used to it,34,0.6176470588235294
data_processed_PRV/wav/PRV_se0_ag1_f_01_1_part_3.wav,data_processed_PRV/txt/PRV_se0_ag1_f_01_1_part_3.txt,"that's our rival school. I coulda went there but uh, I was like, no. I'm used to being here. I'm used to people in Princeville.",5.825,19,Female,data_processed_PRV/wav/PRV_se0_ag1_f_01_1_part_3.wav,I could have went there but I was like no I'm used to being here I'm used to people in prison,thats our rival school i coulda went there but i was like no im used to being here im used to people in princeville,i could have went there but i was like no im used to being here im used to people in prison,24,0.2916666666666667
data_processed_PRV/wav/PRV_se0_ag1_f_01_1_part_4.wav,data_processed_PRV/txt/PRV_se0_ag1_f_01_1_part_4.txt,"[Uh-huh.] [Uh-huh.] [Uh-huh.] To Battleboro, North Carolina [in um-]",5.077,19,Female,data_processed_PRV/wav/PRV_se0_ag1_f_01_1_part_4.wav,ha ha ha ha ha ha to Battleboro North Carolina in,huh huh huh to battleboro nc in,to battleboro nc in,7,0.42857142857142855
