wav_file,txt_file,groundtruth_text,duration,age,gender,audio_file,google_transcription,clean_text,clean_google_transcription,wordcount,clean_google_transcription_wer
data_processed_ROC/wav/ROC_se0_ag1_f_01_1_part_1.wav,data_processed_ROC/txt/ROC_se0_ag1_f_01_1_part_1.txt,"<ts> I actually grew up right down the street, um, born and raised. I grew up, um, in the eleventh ward on /RD-ADDRESS-3/ Street, um, off the /RD-NAME-2/ in- in what people would consider the hood. But my street is very family oriented, quiet street. There's a church on my street, so, you know, there's- S- everybody that has been on my street, has been there literally, since I've been there, with g- exception of maybe, two or three houses,",24.657,26,Female,data_processed_ROC/wav/ROC_se0_ag1_f_01_1_part_1.wav,actually grew up right down the street born and raised I grew up in the 11th word Drake and what people would consider the hood but my street is very family-oriented quiet street there's a church on my street so you know it is everybody that has been on my street has been there literally since I've been there with exception of maybe two or three houses,i actually grew up right down the st born and raised i grew up in the eleventh ward on st off the in in what people would consider the hood but my st is very family oriented quiet st theres a church on my st so you know theres s everybody that has been on my st has been there literally since ive been there with g exception of maybe two or three houses,actually grew up right down the st born and raised i grew up in the eleventh word drake and what people would consider the hood but my st is very family oriented quiet st theres a church on my st so you know it is everybody that has been on my st has been there literally since ive been there with exception of maybe two or three houses,74,0.14864864864864866
data_processed_ROC/wav/ROC_se0_ag1_f_01_1_part_2.wav,data_processed_ROC/txt/ROC_se0_ag1_f_01_1_part_2.txt,"<ts> All my life yes. Including me, I'm still there, I'm not going anywhere, <laugh> like I'm'a milk this one out, I'm the baby [<laugh>]",8.917,26,Female,data_processed_ROC/wav/ROC_se0_ag1_f_01_1_part_2.wav,still in all my life is including me I feel they are not going anywhere,all my life yes including me im still there im not going anywhere like ima milk this one out im the baby,still in all my life is including me i feel they are not going anywhere,22,0.7272727272727273
data_processed_ROC/wav/ROC_se0_ag1_f_01_1_part_3.wav,data_processed_ROC/txt/ROC_se0_ag1_f_01_1_part_3.txt,"Right, right, I'm like, mm, /?/ where I'm going, y'all need me here, so. No yup, um, twenty-six years I've been there, and my dad has been there since eighty something, eighty-seven, something like that. So he's been there almost thirty years, if not more at this point, yeah. Wow, that's crazy to think about that. <laugh>",20.75,26,Female,data_processed_ROC/wav/ROC_se0_ag1_f_01_1_part_3.wav,y'all need me here 26 years I've been there and my dad has been there since 80s something 87 something like that so he's been there almost 30 years it's not more at this point in wow that's crazy to think about that,right right im like where im going yall need me here so no yep twenty six years ive been there and my dad has been there since eighty something eighty seven something like that so hes been there almost thirty years if not more at this point yeah wow thats crazy to think about that,yall need me here twenty six years ive been there and my dad has been there since eighties something eighty seven something like that so hes been there almost thirty years its not more at this point in wow thats crazy to think about that,55,0.23636363636363636
data_processed_ROC/wav/ROC_se0_ag1_f_01_1_part_4.wav,data_processed_ROC/txt/ROC_se0_ag1_f_01_1_part_4.txt,"<ts> Um, definitely African American primarily, um, <laugh> there is a more- I'm not sure, but over the years, I've kind of subconsciously labeled them as Mormon. I don't know if they're Mormon, but they kind of behave like Mormons. At the end of my street there's a family, um, of white people, and you kind of have seen the family evolve over the years, but they're very secluded, keep to themselves. They look like they make their own clothes, and I've never- I've only seen them drive a few times, but usually they walk everywhere. So /um/, (whispered) other than that, it's mostly, um, African Americans. There's a few houses that are rented, so I've seen a few Asian people move in and out. Um, <ts> and",50.032,26,Female,data_processed_ROC/wav/ROC_se0_ag1_f_01_1_part_4.wav,I'm definitely African-American primarily there is a more I'm not sure but over the years I've kind of subconsciously label them is Mormon I don't know if they're Mormon but they kind of behave like Mormons at the end of my street there's a family white people and you kind of have seen the family evolved over the years but they are very secluded keep to themselves they look like they make their own clothes and I've never I've only seen them drive a few times but usually they walk everywhere so I'll other than has mostly I'm African-Americans there's a few houses that are rented so I've seen a few Asian people move in and out and,definitely african american primarily there is a more im not sure but over the years ive kind of subconsciously labeled them as mormon i dont know if theyre mormon but they kind of behave like mormons at the end of my st theres a family of white people and you kind of have seen the family evolve over the years but theyre very secluded keep to themselves they look like they make their own clothes and ive never ive only seen them drive a few times but usually they walk everywhere so other than that its mostly african americans theres a few houses that are rented so ive seen a few asian people move in and out and,im definitely african american primarily there is a more im not sure but over the years ive kind of subconsciously label them is mormon i dont know if theyre mormon but they kind of behave like mormons at the end of my st theres a family white people and you kind of have seen the family evolved over the years but they are very secluded keep to themselves they look like they make their own clothes and ive never ive only seen them drive a few times but usually they walk everywhere so ill other than has mostly im african americans theres a few houses that are rented so ive seen a few asian people move in and out and,118,0.09322033898305085
data_processed_ROC/wav/ROC_se0_ag1_f_01_1_part_5.wav,data_processed_ROC/txt/ROC_se0_ag1_f_01_1_part_5.txt,"one- Um, actually I take that back. Two of my neighbors and one of my best friends and my first best friends",5.8370000000000015,26,Female,data_processed_ROC/wav/ROC_se0_ag1_f_01_1_part_5.wav,actually I take that back two of my neighbors from one of my best friends my first best friend,one actually i take that back two of my neighbors and one of my best friends and my first best friends,actually i take that back two of my neighbors from one of my best friends my first best friend,21,0.19047619047619047
data_processed_ROC/wav/ROC_se0_ag1_f_01_1_part_6.wav,data_processed_ROC/txt/ROC_se0_ag1_f_01_1_part_6.txt,"Um, and then my neighbor on my other side, she's white also. So, there's a mix but mostly African American,",6.32,26,Female,data_processed_ROC/wav/ROC_se0_ag1_f_01_1_part_6.wav,and then my neighbor and my other side she's why y'all so so that's a mix but mostly African-American,and then my neighbor on my other side shes white also so theres a mix but mostly african american,and then my neighbor and my other side shes why yall so so thats a mix but mostly african american,19,0.2631578947368421
data_processed_ROC/wav/ROC_se0_ag1_f_01_1_part_7.wav,data_processed_ROC/txt/ROC_se0_ag1_f_01_1_part_7.txt,"<ts> Funny thing is, my mom did not- um, she didn't play that. [<laugh>]",5.658,26,Female,data_processed_ROC/wav/ROC_se0_ag1_f_01_1_part_7.wav,funny thing is my mom did not she didn't play that,funny thing is my mom did not she didnt play that,funny thing is my mom did not she didnt play that,11,0.0
data_processed_ROC/wav/ROC_se0_ag1_f_01_1_part_8.wav,data_processed_ROC/txt/ROC_se0_ag1_f_01_1_part_8.txt,"So she w- she would let me go out there with, um, kids across the street. My best friend next door, she'd let me go next door. Her name was /RD-NAME-4/. And when /RD-NAME-4/ moved, I was about six or seven. My mom kind of said, okay I don't know if I really like the other neighbors, so, you know, we gonna keep you in front of our house in the backyard where I can see you. Um, I did play across the street with the kids. There weren't a ton of kids my age. Actually do you- you remember /RD-NAME-4/,",29.557,26,Female,data_processed_ROC/wav/ROC_se0_ag1_f_01_1_part_8.wav,so she she would let me go there with kids across the street my best friend next door she let me go next door her name is and when I moved I was about six or seven my mom kind of that okay I don't know if I really like the other neighbors so we got to keep you in front of our house in the backyard where I can see you I did play across the street with the kids they were in a ton of kids my age actually do you remember,so she w she would let me go out there with kids across the st my best friend next door shed let me go next door her name was and when moved i was about six or seven my mom kind of said okay i dont know if i really like the other neighbors so you know we going to keep you in front of our house in the backyard where i can see you i did play across the st with the kids there werent a ton of kids my age actually do you you remember,so she she would let me go there with kids across the st my best friend next door she let me go next door her name is and when i moved i was about six or seven my mom kind of that okay i dont know if i really like the other neighbors so we got to keep you in front of our house in the backyard where i can see you i did play across the st with the kids they were in a ton of kids my age actually do you remember,97,0.13402061855670103
data_processed_ROC/wav/ROC_se0_ag1_f_01_1_part_9.wav,data_processed_ROC/txt/ROC_se0_ag1_f_01_1_part_9.txt,"[yeah.] He lives on my street too, so, um, I grew up playing with him too. But he's a boy, so of course, you know, mom's like, okay as far as I can see you with that one.",8.695,26,Female,data_processed_ROC/wav/ROC_se0_ag1_f_01_1_part_9.wav,he lives on my street to so I grew up playing with him to please a boy so cuz you know morons like okay as far as I can see you with that one,yeah he lives on my st too so i grew up playing with him too but hes a boy so of course you know moms like okay as far as i can see you with that one,he lives on my st to so i grew up playing with him to please a boy so cause you know morons like okay as far as i can see you with that one,37,0.21621621621621623
data_processed_ROC/wav/ROC_se0_ag1_f_01_1_part_10.wav,data_processed_ROC/txt/ROC_se0_ag1_f_01_1_part_10.txt,"Um, <ts> so I played with him, and then there were another set of kids across the street. But they got a dog, um, when I was about eight, maybe. My mom didn't- like, it was a pitbull so my mom was like, no you can't go over there anymore, so. I spent a lot of time, um, actually <ts> with my aunt, um, who lived on /RD-ADDRESS-2/, cause my mom worked evenings and my dad worked a trick shift, so he was working days and nights. So I spent a lot of time over there, ton of kids over there though, /that I/ used to play with, so yeah. <laugh>",30.163,26,Female,data_processed_ROC/wav/ROC_se0_ag1_f_01_1_part_10.wav,play with him and then there were another set of kids across the street but they got a dog when I was done by wait maybe my mom didn't like it was a pitbull can't go over there anymore if I spend a lot of time I'm actually with my aunt who lived on cuz my mom worked evenings and my dad worked at trick shift so he was working days and night I spent a lot of time over there telling the kids over there though I have used to play with,so i played with him and then there were another set of kids across the st but they got a dog when i was about eight maybe my mom didnt like it was a pitbull so my mom was like no you cant go over there anymore so i spent a lot of time actually with my aunt who lived on cause my mom worked evenings and my dad worked a trick shift so he was working days and nights so i spent a lot of time over there ton of kids over there though that i used to play with so yeah,play with him and then there were another set of kids across the st but they got a dog when i was done by wait maybe my mom didnt like it was a pitbull cant go over there anymore if i spend a lot of time im actually with my aunt who lived on cause my mom worked evenings and my dad worked at trick shift so he was working days and night i spent a lot of time over there telling the kids over there though i have used to play with,103,0.24271844660194175
