wav_file,txt_file,groundtruth_text,duration
data_processed_voc/wav/voc_0_part_1.wav,data_processed_voc/txt_raw/voc_0_part_1.txt,He's also a historian. He's he is the president of our historian now here in uh,6.006
data_processed_voc/wav/voc_0_part_2.wav,data_processed_voc/txt_raw/voc_0_part_2.txt,Alright. That's good. So you were born in Redding or where? Yes I was born in Redding.,6.433
data_processed_voc/wav/voc_0_part_3.wav,data_processed_voc/txt_raw/voc_0_part_3.txt,Because we had just one hospital and back then why uh the doctors came to the homes so,8.561
data_processed_voc/wav/voc_0_part_4.wav,data_processed_voc/txt_raw/voc_0_part_4.txt,actually south Redding uh wasn't uptown but it was in south Redding Yeah.,6.121
data_processed_voc/wav/voc_0_part_5.wav,data_processed_voc/txt_raw/voc_0_part_5.txt,Well Lola A little uh Pine Street School that uh I went kindergarten through fourth grade at Magnolia,11.91
data_processed_voc/wav/voc_0_part_6.wav,data_processed_voc/txt_raw/voc_0_part_6.txt,which is up off of uh Court and off of Court up Placer and onto Magnolia Then from there I on the fourth grade then they transfer you because that's as far as you can go to Pine Street.,13.696
data_processed_voc/wav/voc_0_part_7.wav,data_processed_voc/txt_raw/voc_0_part_7.txt,And then Pine Street and graduated from Pine Street I went to Shasta High School Shasta Union High School I call it. I don't,7.768
data_processed_voc/wav/voc_0_part_8.wav,data_processed_voc/txt_raw/voc_0_part_8.txt,I know that most people call it Shasta High School. Well I call it it Shasta Union High School. cuz it was the only high school yeah,6.167
data_processed_voc/wav/voc_0_part_9.wav,data_processed_voc/txt_raw/voc_0_part_9.txt,at that time. I graduated from there and uh then I went to uh a junior Shasta Junior College which now is Shasta Col- Shasta High School but that was first uh college the junior college that we had,16.145
data_processed_voc/wav/voc_0_part_10.wav,data_processed_voc/txt_raw/voc_0_part_10.txt,and then uh after the service well then I I came home and uh went into business with my with my father and my brothers. An electrical contracting business an appliance business which was on uh California and Shasta Street.,15.646
data_processed_voc/wav/voc_0_part_11.wav,data_processed_voc/txt_raw/voc_0_part_11.txt,and right now that Soanapa's uh Auto Auto Parts,5.997
data_processed_voc/wav/voc_0_part_12.wav,data_processed_voc/txt_raw/voc_0_part_12.txt,right there and across the street was little Girard duh Little Girard Ford Motor Company. Small town then,8.429
data_processed_voc/wav/voc_0_part_13.wav,data_processed_voc/txt_raw/voc_0_part_13.txt,I would say that that we at that time oh when I when I first was born in nineteen thirty-two uh I would say our population was maybe three thousand four thousand people and uh and then uh when the dam was built why then our population started to,20.364
data_processed_voc/wav/voc_0_part_14.wav,data_processed_voc/txt_raw/voc_0_part_14.txt,grow. And the [inaudible] that started building the the dam in nineteen thirty-eight. And of course it was completed um five four or five years later. Keep from I I kee- always keep thinking it's from the flooding that they built the dam so that it wouldn't flood. Cuz what uh every year practically why,21.294
data_processed_voc/wav/voc_0_part_15.wav,data_processed_voc/txt_raw/voc_0_part_15.txt,duh later on I'll get a couple pictures for ya and show ya where the Cyprus Street uh Br- uh uh uh actually the Free F- Free Bridge,10.674
data_processed_voc/wav/voc_0_part_16.wav,data_processed_voc/txt_raw/voc_0_part_16.txt,washed out from the flood. This was just as the dam was being built. And then in uh south Redding the uh Miracle Mile Bridge it washed out,12.451
data_processed_voc/wav/voc_0_part_17.wav,data_processed_voc/txt_raw/voc_0_part_17.txt,And the reason they built that was because they're afraid that the Diesil Horse Bridge was gonna be was gonna be old and crumbled. Well today it's still there. St- [laughter] That's like Pine Street School. They said Pine Street School they had to build a new school because of earthquakes and yet it's still standing and there's lots of,21.659
data_processed_voc/wav/voc_0_part_18.wav,data_processed_voc/txt_raw/voc_0_part_18.txt,But uh Uh It was uh it the dam was was over on Cyprus Street and then uh uh South Market and then in uh Miracle Mile that was the bridge and a railroad bridge washed out. So the only way you could get across and go to north,21.602
